,temp,humidity
0,23.9,57.96
1,26.22,57.42
2,25.97,52.15
3,26.16,55.86
4,25.16,56.43
5,27.22,57.06
6,25.78,53.8
7,27.38,57.67
8,27.61,60.72
9,27.32,55.51
10,27.12,60.25
11,27.63,57.8
12,28.03,61.84
13,27.76,61.52
14,28.61,61.21
15,28.92,60.03
16,29.47,59.31
17,27.3,60.19
18,30.5,61.04
19,27.35,66.77
20,31.72,62.94
21,29.57,61.05
22,29.01,64.32
23,31.96,63.53
24,30.57,61.89
25,31.57,64.57
26,31.41,64.63
27,29.64,64.43
28,31.52,67.22
29,31.28,65.48
30,30.51,64.52
31,34.04,66.5
32,32.05,69.36
33,32.79,66.76
34,32.68,66.43
35,33.44,69.69
36,34.48,65.0
37,33.64,68.46
38,34.66,68.57
39,33.92,67.15
40,34.42,72.11
41,33.97,72.8
42,36.49,68.78
43,35.24,67.93
44,35.48,69.07
45,35.1,69.9
46,33.81,67.16
47,35.24,70.39
48,36.65,70.1
49,35.63,70.85
50,37.04,70.56
51,36.52,67.96
52,37.9,71.69
53,39.23,74.9
54,38.5,70.79
55,38.5,69.53
56,38.73,71.5
57,37.81,72.01
58,39.37,74.38
59,40.05,74.63
60,38.85,76.3
61,40.44,78.05
62,38.43,75.53
63,39.69,73.84
64,41.4,75.68
65,38.64,77.68
66,41.66,72.53
67,40.17,76.88
68,39.64,77.3
69,42.35,79.28
70,41.68,76.92
71,41.71,74.91
72,40.15,78.96
73,40.14,79.79
74,40.49,74.91
75,40.68,79.47
76,40.21,79.41
77,43.55,80.18
78,43.1,80.46
79,43.44,78.93
80,42.72,79.72
81,42.82,78.48
82,40.61,83.82
83,45.52,79.58
84,43.99,85.87
85,42.25,79.69
86,44.36,81.37
87,46.16,82.24
88,44.75,84.47
89,45.67,81.17
90,45.22,84.35
91,43.04,84.91
92,44.2,84.64
93,44.73,85.48
94,44.25,82.41
95,46.45,81.27
96,45.02,82.44
97,46.04,86.05
98,45.33,83.33
99,45.4,87.34
100,44.93,84.42
101,46.09,84.45
102,46.1,85.82
103,47.03,84.2
104,47.0,81.71
105,45.02,85.98
106,47.98,83.4
107,46.07,87.02
108,47.67,88.81
109,47.28,85.44
110,46.08,88.16
111,48.39,87.43
112,46.66,83.61
113,45.29,86.53
114,47.75,89.15
115,46.81,87.14
116,48.22,84.91
117,48.66,88.32
118,46.59,85.88
119,47.78,88.05
120,49.52,89.49
121,48.07,89.42
122,48.64,86.78
123,48.65,86.97
124,47.29,87.82
125,49.11,88.78
126,48.84,86.3
127,49.38,88.52
128,48.45,91.56
129,49.0,87.32
130,49.4,90.45
131,51.35,87.46
132,49.76,88.53
133,48.96,90.51
134,50.83,87.82
135,48.45,89.19
136,51.18,89.47
137,48.62,87.26
138,50.2,90.23
139,48.36,89.25
140,48.58,92.57
141,50.0,87.04
142,47.93,88.72
143,48.59,90.91
144,49.21,88.51
145,50.84,91.75
146,49.83,90.57
147,50.03,89.36
148,50.63,91.64
149,50.21,87.58
150,49.74,88.18
151,50.83,91.38
152,51.96,90.06
153,48.73,90.34
154,50.91,91.81
155,51.0,89.23
156,50.5,88.85
157,47.34,94.02
158,50.19,93.9
159,49.37,90.98
160,50.12,93.37
161,49.54,88.77
162,50.78,90.12
163,49.41,90.68
164,50.62,91.57
165,49.22,88.44
166,50.12,88.46
167,50.36,91.06
168,49.19,92.39
169,50.18,92.84
170,49.48,89.35
171,49.49,85.7
172,49.29,90.31
173,49.28,90.84
174,51.07,90.54
175,49.77,90.06
176,49.2,87.5
177,47.94,88.24
178,47.11,94.43
179,49.17,93.94
180,50.68,91.75
181,48.28,89.11
182,49.31,89.7
183,50.89,90.0
184,48.42,89.15
185,49.55,84.21
186,49.7,87.43
187,49.84,90.22
188,49.97,89.59
189,49.32,90.82
190,47.14,90.27
191,48.2,90.62
192,49.14,86.49
193,48.62,87.99
194,49.18,86.59
195,45.7,90.05
196,48.96,84.97
197,48.86,85.29
198,48.59,87.25
199,47.41,88.49
200,47.38,88.19
201,46.85,90.58
202,45.76,86.37
203,47.97,87.89
204,48.82,85.32
205,47.49,88.63
206,47.57,88.14
207,46.23,86.05
208,47.44,85.8
209,46.05,85.94
210,46.84,86.47
211,46.71,88.78
212,45.69,82.63
213,45.83,82.63
214,46.83,85.78
215,44.41,85.28
216,45.82,85.83
217,45.89,83.19
218,45.5,84.43
219,44.57,86.05
220,45.33,82.52
221,43.36,85.26
222,44.52,80.31
223,44.98,80.93
224,43.61,81.36
225,45.07,84.22
226,43.88,84.06
227,43.95,80.87
228,42.79,81.64
229,43.94,81.49
230,42.7,80.1
231,44.66,80.06
232,44.45,84.87
233,42.71,80.33
234,42.11,80.4
235,43.96,80.5
236,42.04,78.82
237,39.35,80.81
238,43.68,79.16
239,40.19,78.44
240,41.05,78.88
241,41.51,75.34
242,41.77,81.86
243,42.0,78.59
244,41.74,77.73
245,41.69,78.69
246,42.28,78.74
247,39.78,76.61
248,41.28,75.69
249,39.15,77.27
250,42.08,75.21
251,39.92,76.84
252,40.68,76.94
253,39.77,76.98
254,38.76,76.36
255,37.97,74.68
256,40.66,76.17
257,38.46,72.48
258,37.32,67.9
259,37.21,71.89
260,36.85,73.75
261,37.05,71.56
262,38.28,72.41
263,36.64,71.55
264,38.21,73.84
265,36.15,70.32
266,37.48,72.19
267,35.52,69.47
268,36.39,72.09
269,35.79,69.2
270,36.02,72.45
271,35.07,71.14
272,34.2,71.41
273,35.37,72.76
274,34.77,69.27
275,35.0,69.03
276,34.13,66.11
277,31.61,65.53
278,33.01,68.31
279,33.62,66.96
280,32.9,66.65
281,34.03,68.25
282,33.55,70.86
283,33.79,65.65
284,34.11,67.79
285,32.75,66.76
286,33.79,61.91
287,30.55,60.97
288,31.75,63.48
289,31.53,64.32
290,32.85,61.78
291,31.35,62.83
292,30.88,63.26
293,28.02,62.43
294,29.82,62.32
295,28.98,63.37
296,31.53,61.06
297,28.09,64.09
298,27.93,59.59
299,28.99,60.47
300,27.88,60.59
301,28.34,61.67
302,30.13,59.72
303,25.92,59.32
304,27.76,55.88
305,28.22,58.83
306,26.42,56.4
307,27.19,60.82
308,26.97,57.28
309,26.85,53.19
310,25.87,57.85
311,28.03,51.01
312,24.48,57.25
313,23.37,55.83
314,25.94,54.21
315,23.3,56.53
316,24.06,55.82
317,24.13,52.88
318,23.84,53.07
319,24.2,52.61
320,23.88,48.13
321,23.21,50.36
322,23.01,52.42
323,22.78,51.66
324,23.43,51.98
